,flow,numberOfCars,travelTime
828,0.339,4,10.219760646341426
829,0.249,3,10.61409148897359
830,0.246,3,10.76675700584348
831,0.177,2,10.028164472373565
832,0.177,2,10.482410808306671
833,0.085,1,10.764708792645377
834,0.189,2,11.261258924441133
835,0.235,3,10.301712157293487
836,0.243,3,10.455748224735057
837,0.165,2,10.94215622667382
838,0.253,3,10.862944289795802
839,0.248,3,10.923288946762463
840,0.163,2,10.801842893438591
841,0.31,3,11.408225261633092
842,0.225,3,11.50841291473586
843,0.212,3,11.74200176039174
844,0.219,3,11.629296734713481
845,0.199,3,12.243871723693854
846,0.156,3,14.083320755319495
847,0.143,4,19.455932669915835
848,0.12,4,30.592183436511238
849,0.092,4,59.02867597308307
850,0.079,4,100.41622102783826
851,0.184,5,51.91887421525249
852,0.169,4,34.46675176372031
853,0.226,4,55.42863074853365
854,0.163,3,27.93401274677651
855,0.277,3,12.800068426734533
856,0.29,4,12.932970742197618
857,0.208,3,12.86298452035775
858,0.404,5,12.663379960058855
859,0.343,5,12.963060821532604
860,0.399,6,12.654390575676125
861,0.329,5,13.666160864543814
862,0.412,6,12.846488834746745
863,0.339,5,13.459569226210757
864,0.402,5,12.882438307338216
865,0.422,5,12.529240613033766
866,0.21,3,12.369794914992871
867,0.415,5,12.467191721036219
868,0.32,5,13.431619717775334
869,0.422,6,12.736160765799681
870,0.414,6,12.72277089176432
871,0.509,7,12.313725508211633
872,0.498,7,12.68914516837685
873,0.363,5,12.900561880127405
874,0.353,5,12.84934111473999
875,0.291,4,12.121178407640546
876,0.298,4,11.943482785680004
